Fecha,Descripcion,Categoria,Tipo,Ingreso,Gasto
"2026-06-27","Medicinas","Salud","Gasto",,78.00
"2026-06-30","Supermercado","Comida","Gasto",,340.00
"2026-07-05","Alquiler","Vivienda","Gasto",,950.00
"2026-07-06","Sueldo mensual","Sueldo","Ingreso",3200.00,
"2026-07-24","Venta de equipo","Otros","Ingreso",420.00,
"2026-07-28","Cena fuera","Ocio","Gasto",,96.00
"2026-07-31","Supermercado","Comida","Gasto",,285.00
"2026-08-04","Alquiler","Vivienda","Gasto",,950.00
"2026-08-05","Sueldo mensual","Sueldo","Ingreso",3200.00,
"2026-08-24","Internet y teléfono","Servicios","Gasto",,119.00
"2026-08-27","Gasolina","Transporte","Gasto",,90.00
"2026-08-29","Proyecto freelance","Freelance","Ingreso",650.00,
"2026-09-01","Supermercado","Comida","Gasto",,310.00
"2026-09-04","Alquiler","Vivienda","Gasto",,950.00
"2026-09-05","Sueldo mensual","Sueldo","Ingreso",3200.00,
